university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Universidad Nacional de Cuyo,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-de-cuyo,Argentina,Mendoza,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-cuyo_592560cf2aeae70239af5124_small.jpg,Public,Medium,12.0,"3,781",XL,"3,064",http://www.wikidata.org/entity/Q1076209,http://www.wikidata.org/entity/Q414,2021:1001,CityMendozaArgentina,CountryArgentina,RegionLatinAmerica,Medium
Universidad Nacional de Mar del Plata,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-de-mar-del-plata,Argentina,Mar del Plata,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-mar-del-plata_592560cf2aeae70239af5125_small.jpg,Public,High,21.0,,L,"1,001",http://www.wikidata.org/entity/Q6979260,http://www.wikidata.org/entity/Q414,2021:1001,CityMardelPlataArgentina,CountryArgentina,RegionLatinAmerica,High
Universidad Nacional de Quilmes,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-de-quilmes,Argentina,Bernal,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-quilmes_592560df9988f300e23209d5_small.jpg,Public,High,25.0,376,L,887,http://www.wikidata.org/entity/Q6317522,http://www.wikidata.org/entity/Q414,2021:1001,CityBernalArgentina,CountryArgentina,RegionLatinAmerica,High
Universidad Nacional de San Martín (UNSAM),2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-de-san-martin-unsam,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-martn-unsam_592560cf2aeae70239af5690_small.jpg,Public,High,17.0,806,L,987,http://www.wikidata.org/entity/Q5733950,http://www.wikidata.org/entity/Q414,2021:1001,CityBuenosAiresArgentina,CountryArgentina,RegionLatinAmerica,High
Universidad Nacional de Tucumà¡n,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-de-tucuman,Argentina,San Miguel de Tucumán,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-tucumn_592560cf2aeae70239af5123_small.jpg,Public,Medium,28.0,,XL,"1,886",http://www.wikidata.org/entity/Q6979284,http://www.wikidata.org/entity/Q414,2021:1001,CitySanMigueldeTucumanArgentina,CountryArgentina,RegionLatinAmerica,Medium
Universidad Nacional del Litoral,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-del-litoral,Argentina,Santa Fe,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-litoral_592560cf2aeae70239af5122_small.jpg,Public,High,33.0,121,XL,"1,382",http://www.wikidata.org/entity/Q265866,http://www.wikidata.org/entity/Q414,2021:1001,CitySantaFeArgentina,CountryArgentina,RegionLatinAmerica,High
Universidad Nacional del Sur,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-del-sur,Argentina,Bahia Blanca,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-sur_592560cf2aeae70239af550a_small.jpg,Public,Medium,12.0,,L,"1,526",http://www.wikidata.org/entity/Q5484518,http://www.wikidata.org/entity/Q414,2021:1001,CityBahiaBlancaArgentina,CountryArgentina,RegionLatinAmerica,Medium
Universidad Peruana de Ciencias Aplicadas,2021,1001,,https://www.topuniversities.com/universities/universidad-peruana-de-ciencias-aplicadas,Peru,Lima,Latin America,https://www.topuniversities.com/sites/default/files/universidad-peruana-de-ciencias-aplicadas_1749_small.jpg,Private,Medium,22.0,975,XL,"2,077",http://www.wikidata.org/entity/Q5202363,http://www.wikidata.org/entity/Q419,2021:1001,CityLimaPeru,CountryPeru,RegionLatinAmerica,Medium
Universidad Rey Juan Carlos,2021,1001,,https://www.topuniversities.com/universities/universidad-rey-juan-carlos,Spain,Alcorcón,Europe,https://www.topuniversities.com/sites/default/files/universidad-rey-juan-carlos_1517_small.jpg,Public,High,20.0,"2,999",XL,"2,150",http://www.wikidata.org/entity/Q2000629,http://www.wikidata.org/entity/Q29,2021:1001,CityAlcorconSpain,CountrySpain,RegionEurope,High
Universidade de Vigo,2021,1001,,https://www.topuniversities.com/universities/universidade-de-vigo,Spain,,Europe,https://www.topuniversities.com/sites/default/files/universidade-de-vigo_592560cf2aeae70239af5079_small.jpg,Public,Very High,16.0,764,L,"1,242",http://www.wikidata.org/entity/Q666916,http://www.wikidata.org/entity/Q29,2021:1001,CitySpain,CountrySpain,RegionEurope,VeryHigh
