university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Wayne State University,2017,461-470,,https://www.topuniversities.com/universities/wayne-state-university,United States,Detroit,North America,https://www.topuniversities.com/sites/default/files/wayne-state-university_592560cf2aeae70239af51d1_small.jpg,Public,Very High,8.0,1.278,L,2.699,http://www.wikidata.org/entity/Q349055,http://www.wikidata.org/entity/Q30,2017:461-470,CityDetroitUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Universidad de Santiago de Chile (USACH),2017,471-480,,https://www.topuniversities.com/universities/universidad-de-santiago-de-chile-usach,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-santiago-de-chile-usach_548_small.jpg,Public,High,17.0,503,L,1.334,http://www.wikidata.org/entity/Q1259453,http://www.wikidata.org/entity/Q298,2017:471-480,CitySantiagoChile,CountryChile,RegionLatinAmerica,High
Universidad de Costa Rica,2017,471-480,,https://www.topuniversities.com/universities/universidad-de-costa-rica,Costa Rica,San Jose,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-costa-rica_789_small.jpg,Public,High,11.0,,XL,2.986,http://www.wikidata.org/entity/Q1305486,http://www.wikidata.org/entity/Q800,2017:471-480,CitySanJoseCostaRica,CountryCostaRica,RegionLatinAmerica,High
Middle East Technical University,2017,471-480,,https://www.topuniversities.com/universities/middle-east-technical-university,Turkey,Ankara,Asia,https://www.topuniversities.com/sites/default/files/middle-east-technical-university_2110_small.jpg,Public,Very High,17.0,1.683,L,1.049,http://www.wikidata.org/entity/Q756126,http://www.wikidata.org/entity/Q43,2017:471-480,CityAnkaraTurkey,CountryTurkey,RegionAsia,VeryHigh
Bogaziçi Üniversitesi,2017,471-480,,https://www.topuniversities.com/universities/bogazici-universitesi,Turkey,Istanbul,Asia,https://www.topuniversities.com/sites/default/files/bogazii-niversitesi_1575_small.jpg,Public,High,22.0,387,L,617,http://www.wikidata.org/entity/Q896267,http://www.wikidata.org/entity/Q43,2017:471-480,CityIstanbulTurkey,CountryTurkey,RegionAsia,High
Clark University,2017,471-480,,https://www.topuniversities.com/universities/clark-university,United States,Worcester,North America,https://www.topuniversities.com/sites/default/files/clark-university_820_small.jpg,Private,Very High,12.0,853,S,276,http://www.wikidata.org/entity/Q1095773,http://www.wikidata.org/entity/Q30,2017:471-480,CityWorcesterUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Lappeenranta-Lahti University of Technology LUT,2017,471-480,,https://www.topuniversities.com/universities/lappeenranta-lahti-university-technology-lut,Finland,Lappeenranta ,Europe,https://www.topuniversities.com/sites/default/files/lappeenranta-university-of-technology_592560cf2aeae70239af4f7d_small.jpg,Public,Very High,14.0,399,S,298,http://www.wikidata.org/entity/Q1809949,http://www.wikidata.org/entity/Q33,2017:471-480,CityLappeenrantaFinland,CountryFinland,RegionEurope,VeryHigh
East China University of Science and Technology,2017,471-480,,https://www.topuniversities.com/universities/east-china-university-science-technology,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/east-china-university-of-science-and-technology_876_small.jpg,Public,Very High,14.0,574,L,2.046,http://www.wikidata.org/entity/Q2655352,http://www.wikidata.org/entity/Q148,2017:471-480,CityShanghaiChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Technische Universität Braunschweig,2017,471-480,,https://www.topuniversities.com/universities/technische-universitat-braunschweig,Germany,Braunschweig,Europe,https://www.topuniversities.com/sites/default/files/technische-universitt-braunschweig_596_small.jpg,Public,Very High,8.0,2.941,L,2.398,http://www.wikidata.org/entity/Q734324,http://www.wikidata.org/entity/Q183,2017:471-480,CityBraunschweigGermany,CountryGermany,RegionEurope,VeryHigh
Tokyo Metropolitan University,2017,471-480,,https://www.topuniversities.com/universities/tokyo-metropolitan-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-metropolitan-university_592560cf2aeae70239af4ce9_small.jpg,Public,Very High,11.0,562,M,822,http://www.wikidata.org/entity/Q1148334,http://www.wikidata.org/entity/Q17,2017:471-480,CityTokyoJapan,CountryJapan,RegionAsia,VeryHigh
University of Saskatchewan,2017,471-480,,https://www.topuniversities.com/universities/university-saskatchewan,Canada,Saskatoon,North America,https://www.topuniversities.com/sites/default/files/university-of-saskatchewan_1755_small.jpg,Public,Very High,12.0,3.382,L,1.415,http://www.wikidata.org/entity/Q1514848,http://www.wikidata.org/entity/Q16,2017:471-480,CitySaskatoonCanada,CountryCanada,RegionNorthAmerica,VeryHigh
Pontificia Universidad Católica del Perú,2017,481-490,26.4,https://www.topuniversities.com/universities/pontificia-universidad-catolica-del-peru,Peru,Lima,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-del-per_592560cf2aeae70239af4af0_small.jpg,Private,High,11.0,292,L,"2,369",http://www.wikidata.org/entity/Q200601,http://www.wikidata.org/entity/Q419,2017:481-490,CityLimaPeru,CountryPeru,RegionLatinAmerica,High
"University of Rome ""Tor Vergata""",2017,481-490,,https://www.topuniversities.com/universities/university-rome-tor-vergata,Italy,Rome,Europe,https://www.topuniversities.com/sites/default/files/university-of-rome-tor-vergata_592560cf2aeae70239af4c99_small.jpg,Public,Very High,17.0,3.505,L,1.446,http://www.wikidata.org/entity/Q1031803,http://www.wikidata.org/entity/Q38,2017:481-490,CityRomeItaly,CountryItaly,RegionEurope,VeryHigh
University of Naples - Federico II,2017,481-490,,https://www.topuniversities.com/universities/university-naples-federico-ii,Italy,Naples,Europe,https://www.topuniversities.com/sites/default/files/university-of-naples-federico-ii_432_small.jpg,Public,Very High,22.0,128,XL,2.299,http://www.wikidata.org/entity/Q691851,http://www.wikidata.org/entity/Q38,2017:481-490,CityNaplesItaly,CountryItaly,RegionEurope,VeryHigh
Hitotsubashi University,2017,481-490,,https://www.topuniversities.com/universities/hitotsubashi-university,Japan,Kunitachi City,Asia,https://www.topuniversities.com/sites/default/files/hitotsubashi-university-business-school-school-of-international-corporate-strategy_592560cf2aeae70239af4b8d_small.jpg,Public,Very High,11.0,802,M,571,http://www.wikidata.org/entity/Q204626,http://www.wikidata.org/entity/Q17,2017:481-490,CityKunitachiCityJapan,CountryJapan,RegionAsia,VeryHigh
Dalian University of Technology,2017,481-490,,https://www.topuniversities.com/universities/dalian-university-technology,China (Mainland),Dalian,Asia,https://www.topuniversities.com/sites/default/files/dalian-university-of-technology_874_small.jpg,Public,Very High,14.0,1.128,XL,2.906,http://www.wikidata.org/entity/Q1477368,http://www.wikidata.org/entity/Q148,2017:481-490,CityDalianChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Indian Institute of Technology Guwahati (IITG),2017,481-490,,https://www.topuniversities.com/universities/indian-institute-technology-guwahati-iitg,India,Guwahati,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-guwahati-iitg_283_small.jpg,Public,Very High,17.0,42,M,410,http://www.wikidata.org/entity/Q3518863,http://www.wikidata.org/entity/Q668,2017:481-490,CityGuwahatiIndia,CountryIndia,RegionAsia,VeryHigh
Lehigh University,2017,481-490,,https://www.topuniversities.com/universities/lehigh-university,United States,Bethlehem,North America,https://www.topuniversities.com/sites/default/files/lehigh-university_810_small.jpg,Private,Very High,11.0,1.152,M,540,http://www.wikidata.org/entity/Q622137,http://www.wikidata.org/entity/Q30,2017:481-490,CityBethlehemUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Tianjin University,2017,481-490,,https://www.topuniversities.com/universities/tianjin-university,China (Mainland),Nankai,Asia,https://www.topuniversities.com/sites/default/files/tianjin-university_609_small.jpg,Public,Very High,9.0,3.425,L,3.147,http://www.wikidata.org/entity/Q2031560,http://www.wikidata.org/entity/Q148,2017:481-490,CityNankaiChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Universidad de Zaragoza,2017,481-490,,https://www.topuniversities.com/universities/universidad-de-zaragoza,Spain,Huesca,Europe,https://www.topuniversities.com/sites/default/files/universidad-de-zaragoza_691_small.jpg,Public,Very High,10.0,2.216,L,2.834,http://www.wikidata.org/entity/Q633561,http://www.wikidata.org/entity/Q29,2017:481-490,CityHuescaSpain,CountrySpain,RegionEurope,VeryHigh
Vilnius University ,2017,481-490,,https://www.topuniversities.com/universities/vilnius-university,Lithuania,Vilnius,Europe,https://www.topuniversities.com/sites/default/files/vilnius-university-_592560cf2aeae70239af4d7f_small.jpg,Public,High,7.0,1.290,L,2.461,http://www.wikidata.org/entity/Q658192,http://www.wikidata.org/entity/Q37,2017:481-490,CityVilniusLithuania,CountryLithuania,RegionEurope,High
Aristotle University of Thessaloniki,2017,491-500,,https://www.topuniversities.com/universities/aristotle-university-thessaloniki,Greece,Thessaloniki,Europe,https://www.topuniversities.com/sites/default/files/aristotle-university-of-thessaloniki_24_small.jpg,Public,Very High,27.0,4.696,XL,1.737,http://www.wikidata.org/entity/Q667568,http://www.wikidata.org/entity/Q41,2017:491-500,CityThessalonikiGreece,CountryGreece,RegionEurope,VeryHigh
Università Cattolica del Sacro Cuore,2017,491-500,,https://www.topuniversities.com/universities/universita-cattolica-del-sacro-cuore,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/universitcattolica-del-sacro-cuore_406_small.jpg,Private,Very High,6.0,"1,849",L,"3,944",http://www.wikidata.org/entity/Q229022,http://www.wikidata.org/entity/Q38,2017:491-500,CityMilanItaly,CountryItaly,RegionEurope,VeryHigh
Aberystwyth University,2017,491-500,,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12.0,1.392,M,516,http://www.wikidata.org/entity/Q319761,http://www.wikidata.org/entity/Q145,2017:491-500,CityAberystwythUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
Iran University of Science and Technology,2017,491-500,,https://www.topuniversities.com/universities/iran-university-science-technology,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/iran-university-of-science-and-technology_592560cf2aeae70239af4e57_small.jpg,Public,Very High,29.0,138,L,532,http://www.wikidata.org/entity/Q4115110,http://www.wikidata.org/entity/Q794,2017:491-500,"CityTehranIran,IslamicRepublicof","CountryIran,IslamicRepublicof",RegionAsia,VeryHigh
Jilin University,2017,491-500,,https://www.topuniversities.com/universities/jilin-university,China (Mainland),Changchun,Asia,https://www.topuniversities.com/sites/default/files/jilin-university_304_small.jpg,Public,Very High,10.0,1.570,XL,7.078,http://www.wikidata.org/entity/Q1432030,http://www.wikidata.org/entity/Q148,2017:491-500,CityChangchunChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
The Catholic University of Korea ,2017,491-500,,https://www.topuniversities.com/universities/catholic-university-korea,South Korea,Gyeonggi,Asia,https://www.topuniversities.com/sites/default/files/the-catholic-university-of-korea-_592560cf2aeae70239af4ed7_small.jpg,Private,Very High,5.0,370,M,1.668,http://www.wikidata.org/entity/Q41738,http://www.wikidata.org/entity/Q884,2017:491-500,CityGyeonggiSouthKorea,CountrySouthKorea,RegionAsia,VeryHigh
Saint Joseph University of Beirut (USJ) ,2017,491-500,,https://www.topuniversities.com/universities/saint-joseph-university-beirut-usj,Lebanon,Beirut,Asia,https://www.topuniversities.com/sites/default/files/saint-joseph-university-of-beirut-usj_1130_small.jpg,Private,Medium,9.0,955,M,941,http://www.wikidata.org/entity/Q1430954,http://www.wikidata.org/entity/Q822,2017:491-500,CityBeirutLebanon,CountryLebanon,RegionAsia,Medium
University of Nebraska - Lincoln,2017,491-500,,https://www.topuniversities.com/universities/university-nebraska-lincoln,United States,Lincoln,North America,https://www.topuniversities.com/sites/default/files/university-of-nebraska-lincoln_819_small.jpg,Public,Very High,12.0,2.805,L,1.953,http://www.wikidata.org/entity/Q1353679,http://www.wikidata.org/entity/Q30,2017:491-500,CityLincolnUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of South Florida,2017,491-500,,https://www.topuniversities.com/universities/university-south-florida,United States,Tampa,North America,https://www.topuniversities.com/sites/default/files/university-of-south-florida_540_small.jpg,Public,Very High,18.0,5.211,XL,2.171,http://www.wikidata.org/entity/Q500606,http://www.wikidata.org/entity/Q30,2017:491-500,CityTampaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Yokohama City University,2017,491-500,,https://www.topuniversities.com/universities/yokohama-city-university,Japan,Yokohama City,Asia,https://www.topuniversities.com/sites/default/files/yokohama-city-university_592560cf2aeae70239af4d32_small.jpg,Public,Very High,6.0,108,M,889,http://www.wikidata.org/entity/Q914024,http://www.wikidata.org/entity/Q17,2017:491-500,CityYokohamaCityJapan,CountryJapan,RegionAsia,VeryHigh
Gadjah Mada University,2017,501-550,,https://www.topuniversities.com/universities/gadjah-mada-university,Indonesia,Yogyakarta,Asia,https://www.topuniversities.com/sites/default/files/gadjah-mada-university_219_small.jpg,Public,High,8.0,738,XL,"4,728",http://www.wikidata.org/entity/Q1145992,http://www.wikidata.org/entity/Q252,2017:501-550,CityYogyakartaIndonesia,CountryIndonesia,RegionAsia,High
University of Delhi,2017,501-550,,https://www.topuniversities.com/universities/university-delhi,India,New Delhi,Asia,https://www.topuniversities.com/sites/default/files/university-of-delhi_156_small.jpg,Public,Very High,22.0,322,L,1.171,http://www.wikidata.org/entity/Q665105,http://www.wikidata.org/entity/Q668,2017:501-550,CityNewDelhiIndia,CountryIndia,RegionAsia,VeryHigh
City University of New York,2017,501-550,,https://www.topuniversities.com/universities/city-university-new-york,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/city-university-of-new-york_149_small.jpg,Public,Very High,16.0,6.462,XL,7.782,http://www.wikidata.org/entity/Q762266,http://www.wikidata.org/entity/Q30,2017:501-550,CityNewYorkCityUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Bordeaux,2017,501-550,,https://www.topuniversities.com/universities/university-bordeaux,France,Talence,Europe,https://www.topuniversities.com/sites/default/files/university-of-bordeaux_1286_small.jpg,Public,Very High,15.0,5.643,XL,3.195,http://www.wikidata.org/entity/Q13344,http://www.wikidata.org/entity/Q142,2017:501-550,CityTalenceFrance,CountryFrance,RegionEurope,VeryHigh
Pontifícia Universidade Católica do Rio de Janeiro,2017,501-550,,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-de-janeiro,Brazil,Rio de Janeiro,Latin America,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_small.jpg,Private,Very High,16.0,169,M,696,http://www.wikidata.org/entity/Q1857293,http://www.wikidata.org/entity/Q155,2017:501-550,CityRiodeJaneiroBrazil,CountryBrazil,RegionLatinAmerica,VeryHigh
University of Granada,2017,501-550,,https://www.topuniversities.com/universities/university-granada,Spain,Granada,Europe,https://www.topuniversities.com/sites/default/files/university-of-granada_235_small.jpg,Public,Very High,19.0,5.611,XL,2.682,http://www.wikidata.org/entity/Q1232180,http://www.wikidata.org/entity/Q29,2017:501-550,CityGranadaSpain,CountrySpain,RegionEurope,VeryHigh
Université du Québec,2017,501-550,,https://www.topuniversities.com/universities/universite-du-quebec,Canada,Québec,North America,https://www.topuniversities.com/sites/default/files/universit-du-qubec_512_small.jpg,Public,Very High,10.0,3.057,L,1.908,http://www.wikidata.org/entity/Q1634522,http://www.wikidata.org/entity/Q16,2017:501-550,CityQuebecCanada,CountryCanada,RegionNorthAmerica,VeryHigh
Universität  Leipzig,2017,501-550,,https://www.topuniversities.com/universities/universitat-leipzig,Germany,Leipzig,Europe,https://www.topuniversities.com/sites/default/files/universitt-leipzig_341_small.jpg,Public,Very High,7.0,3.174,L,4.119,http://www.wikidata.org/entity/Q154804,http://www.wikidata.org/entity/Q183,2017:501-550,CityLeipzigGermany,CountryGermany,RegionEurope,VeryHigh
Université Claude Bernard Lyon 1,2017,501-550,,https://www.topuniversities.com/universities/universite-claude-bernard-lyon-1,France,Villeurbanne,Europe,https://www.topuniversities.com/sites/default/files/universit-claude-bernard-lyon-1_373_small.jpg,Public,Very High,17.0,3.773,XL,2.225,http://www.wikidata.org/entity/Q4032,http://www.wikidata.org/entity/Q142,2017:501-550,CityVilleurbanneFrance,CountryFrance,RegionEurope,VeryHigh
Ateneo de Manila University,2017,501-550,,https://www.topuniversities.com/universities/ateneo-de-manila-university,Philippines,Quezon City,Asia,https://www.topuniversities.com/sites/default/files/ateneo-de-manila-university_592560cf2aeae70239af4aa1_small.jpg,Private,Medium,11.0,372,M,1.017,http://www.wikidata.org/entity/Q533235,http://www.wikidata.org/entity/Q928,2017:501-550,CityQuezonCityPhilippines,CountryPhilippines,RegionAsia,Medium
UNESP,2017,501-550,,https://www.topuniversities.com/universities/unesp,Brazil,SÃ£o Paulo,Latin America,https://www.topuniversities.com/sites/default/files/unesp_492_small.jpg,Public,Very High,14.0,1.491,XL,2.794,http://www.wikidata.org/entity/Q1817137,http://www.wikidata.org/entity/Q155,2017:501-550,CitySAPSoPauloBrazil,CountryBrazil,RegionLatinAmerica,VeryHigh
Abo Akademi University,2017,501-550,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11.0,551,M,507,http://www.wikidata.org/entity/Q917874,http://www.wikidata.org/entity/Q33,2017:501-550,CityTurkuFinland,CountryFinland,RegionEurope,VeryHigh
Amirkabir University of Technology,2017,501-550,,https://www.topuniversities.com/universities/amirkabir-university-technology,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/amirkabir-university-of-technology_592560cf2aeae70239af4e54_small.jpg,Public,Very High,22.0,235,M,525,http://www.wikidata.org/entity/Q4746780,http://www.wikidata.org/entity/Q794,2017:501-550,"CityTehranIran,IslamicRepublicof","CountryIran,IslamicRepublicof",RegionAsia,VeryHigh
Jeonbuk National University,2017,501-550,,https://www.topuniversities.com/universities/jeonbuk-national-university,South Korea,Jeonju,Asia,https://www.topuniversities.com/sites/default/files/jeonbuk-national-university_592560cf2aeae70239af4aff_small.jpg,Public,Very High,8.0,1.371,L,2.345,http://www.wikidata.org/entity/Q623851,http://www.wikidata.org/entity/Q884,2017:501-550,CityJeonjuSouthKorea,CountrySouthKorea,RegionAsia,VeryHigh
Czech Technical University in Prague,2017,501-550,,https://www.topuniversities.com/universities/czech-technical-university-prague,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/czech-technical-university-in-prague_592560cf2aeae70239af4d3b_small.jpg,Public,Very High,6.0,3.006,L,2.628,http://www.wikidata.org/entity/Q1329478,http://www.wikidata.org/entity/Q213,2017:501-550,CityPragueCzechRepublic,CountryCzechRepublic,RegionEurope,VeryHigh
Drexel University,2017,501-550,,https://www.topuniversities.com/universities/drexel-university,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/drexel-university_163_small.jpg,Private,Very High,11.0,2.526,L,1.837,http://www.wikidata.org/entity/Q603034,http://www.wikidata.org/entity/Q30,2017:501-550,CityPhiladelphiaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Instituto Tecnológico de Buenos Aires (ITBA),2017,501-550,,https://www.topuniversities.com/universities/instituto-tecnologico-de-buenos-aires-itba,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-de-buenos-aires-itba_592560cf2aeae70239af4bae_small.jpg,Private,High,16.0,333,S,220,http://www.wikidata.org/entity/Q3068593,http://www.wikidata.org/entity/Q414,2017:501-550,CityBuenosAiresArgentina,CountryArgentina,RegionLatinAmerica,High
Abai Kazakh National Pedagogical University,2017,501-550,,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7.0,333,L,1.994,http://www.wikidata.org/entity/Q1734795,http://www.wikidata.org/entity/Q232,2017:501-550,CityAlmatyKazakhstan,CountryKazakhstan,RegionAsia,Medium
Kazan (Volga region) Federal University,2017,501-550,,https://www.topuniversities.com/universities/kazan-volga-region-federal-university,Russia,Kazan,Europe,https://www.topuniversities.com/sites/default/files/kazan-volga-region-federal-university_313_small.jpg,Public,Very High,6.0,8.375,L,3.847,http://www.wikidata.org/entity/Q113788,http://www.wikidata.org/entity/Q159,2017:501-550,CityKazanRussia,CountryRussia,RegionEurope,VeryHigh
King Khalid University,2017,501-550,,https://www.topuniversities.com/universities/king-khalid-university,Saudi Arabia,Abha,Asia,https://www.topuniversities.com/sites/default/files/king-khalid-university_1174_small.jpg,Public,High,11.0,1.171,XL,3.544,http://www.wikidata.org/entity/Q6411791,http://www.wikidata.org/entity/Q851,2017:501-550,CityAbhaSaudiArabia,CountrySaudiArabia,RegionAsia,High
"Kingston University, London",2017,501-550,,https://www.topuniversities.com/universities/kingston-university-london,United Kingdom,Kingston upon Thames,Europe,https://www.topuniversities.com/sites/default/files/kingston-university-london_592560cf2aeae70239af4bc2_small.jpg,Public,High,18.0,6.608,L,885,http://www.wikidata.org/entity/Q2503809,http://www.wikidata.org/entity/Q145,2017:501-550,CityKingstonuponThamesUnitedKingdom,CountryUnitedKingdom,RegionEurope,High
Martin-Luther-Universität Halle-Wittenberg,2017,501-550,,https://www.topuniversities.com/universities/martin-luther-universitat-halle-wittenberg,Germany,Halle,Europe,https://www.topuniversities.com/sites/default/files/martin-luther-universitt-halle-wittenberg_245_small.jpg,Public,High,7.0,1.682,L,2.942,http://www.wikidata.org/entity/Q32120,http://www.wikidata.org/entity/Q183,2017:501-550,CityHalleGermany,CountryGermany,RegionEurope,High
Michigan Technological University,2017,501-550,,https://www.topuniversities.com/universities/michigan-technological-university,United States,Houghton,North America,https://www.topuniversities.com/sites/default/files/michigan-technological-university_1810_small.jpg,Public,Very High,12.0,694,M,562,http://www.wikidata.org/entity/Q12432,http://www.wikidata.org/entity/Q30,2017:501-550,CityHoughtonUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Missouri University of Science and Technology,2017,501-550,,https://www.topuniversities.com/universities/missouri-university-science-technology,United States,Rolla,North America,https://www.topuniversities.com/sites/default/files/missouri-university-of-science-and-technology_592560cf2aeae70239af51e4_small.jpg,Public,Very High,18.0,557,M,369,http://www.wikidata.org/entity/Q4380853,http://www.wikidata.org/entity/Q30,2017:501-550,CityRollaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Murdoch University,2017,501-550,,https://www.topuniversities.com/universities/murdoch-university,Australia,Murdoch,Oceania,https://www.topuniversities.com/sites/default/files/murdoch-university_592560cf2aeae70239af4dc5_small.jpg,Public,Very High,21.0,3.106,L,613,http://www.wikidata.org/entity/Q1375146,http://www.wikidata.org/entity/Q408,2017:501-550,CityMurdochAustralia,CountryAustralia,RegionOceania,VeryHigh
Nagasaki University,2017,501-550,,https://www.topuniversities.com/universities/nagasaki-university,Japan,Nagasaki City,Asia,https://www.topuniversities.com/sites/default/files/nagasaki-university_592560cf2aeae70239af4c2d_small.jpg,Public,Very High,7.0,439,M,1.303,http://www.wikidata.org/entity/Q114892,http://www.wikidata.org/entity/Q17,2017:501-550,CityNagasakiCityJapan,CountryJapan,RegionAsia,VeryHigh
National Chung Hsing University,2017,501-550,,https://www.topuniversities.com/universities/national-chung-hsing-university,Taiwan,Taichung City,Asia,https://www.topuniversities.com/sites/default/files/national-chung-hsing-university_438_small.jpg,Public,Very High,12.0,957,L,1.068,http://www.wikidata.org/entity/Q707573,http://www.wikidata.org/entity/Q865,2017:501-550,CityTaichungCityTaiwan,CountryTaiwan,RegionAsia,VeryHigh
National University of Sciences And Technology (NUST) Islamabad,2017,501-550,,https://www.topuniversities.com/universities/national-university-sciences-technology-nust-islamabad,Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-sciences-and-technology-nust-islamabad_698_small.jpg,Public,Very High,7.0,563,M,1.608,http://www.wikidata.org/entity/Q3696003,http://www.wikidata.org/entity/Q843,2017:501-550,CityIslamabadPakistan,CountryPakistan,RegionAsia,VeryHigh
Okayama University,2017,501-550,,https://www.topuniversities.com/universities/okayama-university,Japan,Okayama City,Asia,https://www.topuniversities.com/sites/default/files/okayama-university_592560cf2aeae70239af4c55_small.jpg,Public,High,8.0,813,L,1.697,http://www.wikidata.org/entity/Q1067916,http://www.wikidata.org/entity/Q17,2017:501-550,CityOkayamaCityJapan,CountryJapan,RegionAsia,High
Pontifícia Universidade Católica de São Paulo,2017,501-550,,https://www.topuniversities.com/universities/pontificia-universidade-catolica-de-sao-paulo,Brazil,São Paulo,Latin America,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-de-so-paulo_592560cf2aeae70239af549d_small.jpg,Private,Medium,13.0,61,M,732,http://www.wikidata.org/entity/Q1815994,http://www.wikidata.org/entity/Q155,2017:501-550,CitySaoPauloBrazil,CountryBrazil,RegionLatinAmerica,Medium
Sejong University ,2017,501-550,,https://www.topuniversities.com/universities/sejong-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/sejong-university_1094_small.jpg,Private,Very High,14.0,1.536,L,919,http://www.wikidata.org/entity/Q491711,http://www.wikidata.org/entity/Q884,2017:501-550,CitySeoulSouthKorea,CountrySouthKorea,RegionAsia,VeryHigh
Shandong University,2017,501-550,,https://www.topuniversities.com/universities/shandong-university,China (Mainland),Jinan,Asia,https://www.topuniversities.com/sites/default/files/shandong-university_555_small.jpg,Public,Very High,13.0,1.637,XL,3.406,http://www.wikidata.org/entity/Q604470,http://www.wikidata.org/entity/Q148,2017:501-550,CityJinanChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Southeast University,2017,501-550,,https://www.topuniversities.com/universities/southeast-university,China (Mainland),Nanjing,Asia,https://www.topuniversities.com/sites/default/files/southeast-university_568_small.jpg,Public,Very High,11.0,1.500,XL,3.409,http://www.wikidata.org/entity/Q3551770,http://www.wikidata.org/entity/Q148,2017:501-550,CityNanjingChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Tulane University,2017,501-550,,https://www.topuniversities.com/universities/tulane-university,United States,New Orleans,North America,https://www.topuniversities.com/sites/default/files/tulane-university_631_small.jpg,Private,Very High,6.0,1.172,M,1.733,http://www.wikidata.org/entity/Q1193547,http://www.wikidata.org/entity/Q30,2017:501-550,CityNewOrleansUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Umm Al-Qura University ,2017,501-550,,https://www.topuniversities.com/universities/umm-al-qura-university,Saudi Arabia,Makkah,Asia,https://www.topuniversities.com/sites/default/files/umm-al-qura-university-_592560cf2aeae70239af4d44_small.jpg,Public,Medium,8.0,3.566,XL,3.619,http://www.wikidata.org/entity/Q3133606,http://www.wikidata.org/entity/Q851,2017:501-550,CityMakkahSaudiArabia,CountrySaudiArabia,RegionAsia,Medium
Universidad de San Andrés - UdeSA,2017,501-550,,https://www.topuniversities.com/universities/universidad-de-san-andres-udesa,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-san-andrs-udesa_1699_small.jpg,Private,Medium,9.0,100,S,231,http://www.wikidata.org/entity/Q5242548,http://www.wikidata.org/entity/Q414,2017:501-550,CityBuenosAiresArgentina,CountryArgentina,RegionLatinAmerica,Medium
Universidade Federal de São Paulo,2017,501-550,,https://www.topuniversities.com/universities/universidade-federal-de-sao-paulo,Brazil,São Paulo,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-de-so-paulo_2750_small.jpg,Public,Very High,6.0,153,L,2.451,http://www.wikidata.org/entity/Q4384447,http://www.wikidata.org/entity/Q155,2017:501-550,CitySaoPauloBrazil,CountryBrazil,RegionLatinAmerica,VeryHigh
